,Name,Sex,Event,Age,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,AgeClass,Federation,Date,MeetCountry,MeetState,MeetName,Region,Political
0,Angie Belk Terry,F,SBD,47.0,47.63,20.41,70.31,45-49,365Strong,2016,USA,NC,Junior & Senior National Powerlifting Championships,South,Pink
1,Dawn Bogart,F,SBD,42.0,142.88,95.25,163.29,40-44,365Strong,2016,USA,NC,Junior & Senior National Powerlifting Championships,South,Pink
5,Courtney Norris,F,SBD,28.0,170.1,77.11,145.15,24-34,365Strong,2016,USA,NC,Junior & Senior National Powerlifting Championships,South,Pink
6,Maureen Clary,F,SBD,60.0,124.74,95.25,163.29,60-64,365Strong,2016,USA,NC,Junior & Senior National Powerlifting Championships,South,Pink
8,Priscilla Sweat Pardue,F,SBD,52.0,120.2,54.43,108.86,50-54,365Strong,2016,USA,NC,Junior & Senior National Powerlifting Championships,South,Pink
10,Kayce Hoover,F,SBD,24.0,138.35,65.77,136.08,24-34,365Strong,2016,USA,NC,Junior & Senior National Powerlifting Championships,South,Pink
11,Cindy Meeker,F,SBD,56.0,120.2,43.09,129.27,55-59,365Strong,2016,USA,NC,Junior & Senior National Powerlifting Championships,South,Pink
13,Candice Pardue Maness,F,SBD,54.0,102.06,74.84,106.59,50-54,365Strong,2016,USA,NC,Junior & Senior National Powerlifting Championships,South,Pink
14,Danielle Ortiz,F,SBD,17.0,81.65,49.9,115.67,16-17,365Strong,2016,USA,NC,Junior & Senior National Powerlifting Championships,South,Pink
15,Jessica Jenkins,F,SBD,32.0,229.06,161.03,210.92,24-34,365Strong,2016,USA,NC,Junior & Senior National Powerlifting Championships,South,Pink
16,Jessica Wissmann,F,SBD,25.0,142.88,68.04,136.08,24-34,365Strong,2016,USA,NC,Junior & Senior National Powerlifting Championships,South,Pink
17,Emma Love,F,SBD,18.0,86.18,52.16,83.91,18-19,365Strong,2016,USA,NC,Junior & Senior National Powerlifting Championships,South,Pink
18,Kelly Benson,F,SBD,22.0,102.06,77.11,120.2,20-23,365Strong,2016,USA,NC,Junior & Senior National Powerlifting Championships,South,Pink
19,Cathy Cranford,F,SBD,56.0,86.18,38.56,102.06,55-59,365Strong,2016,USA,NC,Junior & Senior National Powerlifting Championships,South,Pink
20,Alexis Eliopoulos,F,SBD,30.0,174.63,122.47,195.04,24-34,365Strong,2016,USA,NC,Junior & Senior National Powerlifting Championships,South,Pink
22,Paula Bowers,F,SBD,34.0,74.84,47.63,92.99,24-34,365Strong,2016,USA,NC,Junior & Senior National Powerlifting Championships,South,Pink
79,Maggie Parsons,F,SBD,20.0,75.0,37.5,100.0,20-23,365Strong,2016,USA,MO,Thanksgiving Powerlifting Classic,Midwest,Red
83,Lisha Lamb,F,SBD,20.0,127.5,62.5,135.0,20-23,365Strong,2016,USA,MO,Thanksgiving Powerlifting Classic,Midwest,Red
84,Carley Bradshaw,F,SBD,20.0,127.5,57.5,132.5,20-23,365Strong,2016,USA,MO,Thanksgiving Powerlifting Classic,Midwest,Red
85,Chelsey Roberts,F,SBD,26.0,102.5,55.0,127.5,24-34,365Strong,2016,USA,MO,Thanksgiving Powerlifting Classic,Midwest,Red
87,Natalie Mayfield,F,SBD,38.0,140.0,75.0,157.5,35-39,365Strong,2016,USA,MO,Thanksgiving Powerlifting Classic,Midwest,Red
143,Cathy Cranford,F,SBD,56.0,68.04,43.09,102.06,55-59,365Strong,2016,USA,NC,Charlotte Europa Games,South,Pink
144,Lindsay Seamans,F,SBD,31.0,90.72,43.09,92.99,24-34,365Strong,2016,USA,NC,Charlotte Europa Games,South,Pink
145,Tricia Emrich,F,SBD,44.0,117.93,68.04,129.27,40-44,365Strong,2016,USA,NC,Charlotte Europa Games,South,Pink
146,Taylor Nugent,F,SBD,25.0,83.91,47.63,124.74,24-34,365Strong,2016,USA,NC,Charlotte Europa Games,South,Pink
147,Maureen Clary,F,SBD,60.0,120.2,95.25,138.35,60-64,365Strong,2016,USA,NC,Charlotte Europa Games,South,Pink
149,Victoria Renfroe,F,SBD,19.0,115.67,68.04,149.69,18-19,365Strong,2016,USA,NC,Charlotte Europa Games,South,Pink
150,Caitlin Cardone,F,SBD,25.0,136.08,74.84,147.42,24-34,365Strong,2016,USA,NC,Charlotte Europa Games,South,Pink
151,Hannah Cochran,F,SBD,28.0,120.2,54.43,151.95,24-34,365Strong,2016,USA,NC,Charlotte Europa Games,South,Pink
152,Dawn Bogart,F,SBD,42.0,136.08,92.99,158.76,40-44,365Strong,2016,USA,NC,Charlotte Europa Games,South,Pink
154,Nadia Zebouni,F,SBD,27.0,90.72,65.77,147.42,24-34,365Strong,2016,USA,NC,Charlotte Europa Games,South,Pink
155,Courtney Norris,F,SBD,27.0,163.29,90.72,158.76,24-34,365Strong,2016,USA,NC,Charlotte Europa Games,South,Pink
156,Alexis Eliopoulos,F,SBD,30.0,161.03,115.67,183.7,24-34,365Strong,2016,USA,NC,Charlotte Europa Games,South,Pink
255,Lindsay Seamans,F,SBD,30.0,97.52,40.82,102.06,24-34,365Strong,2016,USA,SC,Eastern USA Challenge,South,Red
256,Dawn Bogart,F,SBD,42.0,120.2,79.38,133.81,40-44,365Strong,2016,USA,SC,Eastern USA Challenge,South,Red
