,Name,Sex,Event,Age,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,AgeClass,Federation,Date,MeetCountry,MeetState,MeetName
302,Tiffany Bellamy,F,SBD,37.0,92.5,45.0,112.5,35-39,365Strong,2017,USA,NC,Charlotte Europa Games
303,Taylor Nugent,F,SBD,25.0,120.0,52.5,142.5,24-34,365Strong,2017,USA,NC,Charlotte Europa Games
304,Kayce Hoover,F,SBD,24.0,125.0,62.5,125.0,24-34,365Strong,2017,USA,NC,Charlotte Europa Games
305,Dawn Bogart,F,SBD,43.0,150.0,102.5,182.5,40-44,365Strong,2017,USA,NC,Charlotte Europa Games
306,Dawn Bogart,F,SBD,43.0,150.0,102.5,182.5,40-44,365Strong,2017,USA,NC,Charlotte Europa Games
307,Hanna Young,F,SBD,19.0,110.0,62.5,137.5,18-19,365Strong,2017,USA,NC,Charlotte Europa Games
308,Kelian Hagerty,F,SBD,38.0,97.5,70.0,140.0,35-39,365Strong,2017,USA,NC,Charlotte Europa Games
309,Maureen Clary,F,SBD,61.0,135.0,102.5,160.0,60-64,365Strong,2017,USA,NC,Charlotte Europa Games
310,Brittany Shackelford,F,SBD,27.0,160.0,95.0,155.0,24-34,365Strong,2017,USA,NC,Charlotte Europa Games
311,Priscilla Pardue,F,SBD,53.0,117.5,60.0,115.0,50-54,365Strong,2017,USA,NC,Charlotte Europa Games
312,Maureen Clary,F,SBD,61.0,135.0,102.5,160.0,60-64,365Strong,2017,USA,NC,Charlotte Europa Games
313,Katarina Giancroce,F,SBD,19.0,122.5,57.5,132.5,18-19,365Strong,2017,USA,NC,Charlotte Europa Games
314,Reyhan Roybal,F,SBD,38.0,117.5,95.0,162.5,35-39,365Strong,2017,USA,NC,Charlotte Europa Games
315,Courtney Reynolds,F,SBD,29.0,117.5,65.0,147.5,24-34,365Strong,2017,USA,NC,Charlotte Europa Games
316,Katarina Giancroce,F,SBD,19.0,122.5,57.5,132.5,18-19,365Strong,2017,USA,NC,Charlotte Europa Games
317,Ivanna Guzman,F,SBD,20.0,112.5,50.0,147.5,20-23,365Strong,2017,USA,NC,Charlotte Europa Games
318,Deborah Omolewu,F,SBD,33.0,117.5,75.0,142.5,24-34,365Strong,2017,USA,NC,Charlotte Europa Games
319,Jessica Wissmann,F,SBD,25.0,167.5,75.0,155.0,24-34,365Strong,2017,USA,NC,Charlotte Europa Games
320,Bridget McDermott,F,SBD,31.0,157.5,75.0,145.0,24-34,365Strong,2017,USA,NC,Charlotte Europa Games
321,Candice Maness,F,SBD,54.0,110.0,82.5,115.0,50-54,365Strong,2017,USA,NC,Charlotte Europa Games
322,Shannon Nash,F,SBD,45.0,102.5,172.5,102.5,45-49,365Strong,2017,USA,NC,Charlotte Europa Games
324,Mariah Flint,F,SBD,21.0,90.0,50.0,145.0,20-23,365Strong,2017,USA,NC,Charlotte Europa Games
325,Lauren Wait,F,SBD,27.0,92.5,70.0,110.0,24-34,365Strong,2017,USA,NC,Charlotte Europa Games
